Título,Calificación,Géneros,Duración,Clasificación por edades,Director,Año,Reparto
Ali,74%  6.7 (101k),"Drama, Deporte, Documental",2h 37min,16,Michael Mann,(2001),", Will Smith, Jamie Foxx, Jon Voight, Mario Van Peebles, Ron Silver, Jeffrey Wright, Mykelti Williamson, Jada Pinkett Smith, Nona Gaye, Michael Michele, Joe Morton, Paul Rodríguez, Bruce McGill, Barry Shabaka Henley, Giancarlo Esposito, Laurence Mason, LeVar Burton, Albert Hall, David Cubitt, Ted Levine, Candy Ann Brown, Shari Watson, Malick Bowens, Michael Bentt, James Toney, Charles Shufford, Rufus Dorsey, David Haines, Victoria Dillard, Brad Greenquist, Maestro Harrell, Kim Robillard, David Purdham, Gailard Sartain, Wade Williams, Guy Van Swearingen, Marc Grapey, Eddie Bo Smith Jr., Alexandra Bokyun Chun, John G. Connolly, Jack Reiss, Chico Benymon, Ronald A. DiNicola, Steven Randazzo, Ray Bokhour, Leonard Termo, Johnny Ortiz, Reginald Footman, Christian Stolte, Carol Hatchett, Graham Hopkins, Daniel Janks, Michael Dorn, Graham Clarke, Ron Madoff, Deborah Smith Ford, Donald Dowd, Matisha Baldwin, Greg Bronson, Lionel D. Carson, Ralph Cole Jr., Vincent De Paul, Trish Dempsey, Richard Fitzpatrick, Edward C. Gillow, Brandon T. Jackson, Michael Keyes, Leon, Valentine Miele, Jermaine Montell, John O. Nelson, Hunter F. Roberts, Sheldon Robins, Prince Shah, Robert Standley, Larry Vigus, Jackie Zane, Ray Uhler, Vic Manni, Mark Salem"
Boxcar Bertha,66%  6.0 (9k),"Crimen, Romance, Drama",1h 28min,16,Martin Scorsese,(1972),", Barbara Hershey, David Carradine, Barry Primus, Bernie Casey, John Carradine, Victor Argo, David Osterhout, Harry Northup, Joe Reynolds, Marianne Dole, Ann Morell, Martin Scorsese, Jerry Cortez"
Clifford,58%  5.4 (7k),Comedia,1h 29min,7,Paul Flaherty,(1994),", Martin Short, Charles Grodin, Mary Steenburgen, Dabney Coleman, Richard Kind, Jennifer Savidge, Brandis Kemp, Ben Savage, Don Galloway, Tim Lane, Susan Varon, Josh Seal, Kevin Mockrin, Timothy Stack, Marianne Muellerleile, Kirsten Holmquist, Megan Kloner, Jessie Stock, Creighton Douglas II, Jennifer Nash, Shelly Desai, G. D. Spradlin, Anne Jeffreys, Channing Chase, Christopher Murray, David Byrd, Gary Byron, Anthony S. Johnson, R. Leo Schreiber, Greg Blanchard, Annabel Schofield, Natalie Core, Sonia Jackson, Kathy Fitzgerald, Bergen Williams, Richard Fancy, Al Pugliese, Mars Callahan, Patricia Bell, Jane Sullivan, James ""Gypsy"" Haake, Sherlynn Hicks, Barry Dennen, James Cary Flynn, Alicia Gilbert, Kelly Shane Rivers, Seth Binzer, Brandon Christopher, Ian Hunter, John Michael Quinn, Jim Rhine, Patricia Tallman, Linda Hoffman"
Clockstoppers,59%  5.2 (14k),"Misterio & Suspense, Ciencia ficción, Comedia, Acción & Aventura",1h 34min,APTA,Jonathan Frakes,(2002),", Jesse Bradford, Paula Garcés, French Stewart, Michael Biehn, Robin Thomas, Julia Sweeney, Lindze Letherman, Jason George, Ken Jenkins, Tony Abatemarco, Garikayi Mutambirwa, Brian J. Williams, Linda Kim, Esperanza Catubig, Jennifer Manley, Scott Thomson, Deborah Rawlings, Jodie Milks, Brad ""Chip"" Pope, Oanh Nguyen, Andrew James Armstrong, Rachel Arieff, Joey Simmrin, Finneus Egan, Pamela Dunlap, Gina Hecht, Eric Michael Baugh, Dwight Armstrong, DJ Midas, Billy Mayo, Jenette Goldstein, Jeff Ricketts, Melanie Mayron, Larry Carroll, Caroline Fogarty, Miko Hughes"
Dead of Winter,67%  6.2 (4k),"Misterio & Suspense, Terror, Drama",1h 40min,16,Arthur Penn,(1987),", Mary Steenburgen, Roddy McDowall, Jan Rubeš, William Russ, Ken Pogue, Wayne Robson, Mark Malone, Michael Copeman, Sam Malkin, Pamela Moller, Dwayne McLean, Paul Welsh"
Flatliners,72%  6.5 (88k),"Ciencia ficción, Terror, Misterio & Suspense, Drama",1h 55min,16,Joel Schumacher,(1990),", Kiefer Sutherland, Julia Roberts, Kevin Bacon, William Baldwin, Oliver Platt, Kimberly Scott, Joshua Rudoy, Benjamin Mouton, Aeryk Egan, Kesha Reed, Hope Davis, Jim Ortlieb, John Duda, Megan Stewart, Tressa Thomas, Sanna Vraa, Beth Grant, Marilyn Dodds Frank, Patricia Belcher, Deborah Thompson Duda, Julie Warner, Gonzo Gonzalez, Afram Bill Williams, Elinore O'Connell, Nicole Niblack, Cynthia Bassham, Sarabeth Tucek, Ilona Margolis, Iilana B'tiste, Deborah Torchio, Deborah Goomas, Michelle McKee, Nancy Moran, Dede Latinopoulos, Susan French, Angela Paton, Baadja-Lyne Odums, John Benjamin Martin, John Fink, Evelina Fernández, Ingrid Oliu, Anne James, K.K. Dodds, Natsuko Ohama, Marie-Alise Recasner, Shauna O'Brien, Ted Otis"
House of Games,77%  7.2 (22k),"Drama, Misterio & Suspense, Crimen",1h 42min,16,David Mamet,(1987),", Lindsay Crouse, Joe Mantegna, Mike Nussbaum, Lilia Skala, J.T. Walsh, Steven Goldstein, Jack Wallace, Ricky Jay, William H. Macy, Meshach Taylor, John Pritchett, Scott Zigler, Jacqueline de La Chaume, Willo Hausman, G. Roy Levin, Allen Soule, Johnny 'Sugarbear' Willis, Josh Conescu, Patricia Wolff, Karen Kohlhaas, Julie Mendenhall, Rachel Cline"
Lost In Space,60%  5.2 (73k),"Ciencia ficción, Misterio & Suspense, Acción & Aventura, Familia",2h 10min,APTA,Stephen Hopkins,(1998),", Jack Johnson, Gary Oldman, William Hurt, Mimi Rogers, Lacey Chabert, Matt LeBlanc, Heather Graham, Jared Harris, Mark Goddard, Lennie James, Marta Kristen, June Lockhart, Adam Sims, Angela Cartwright, John Sharian, Abigail Canton, Richard Saperstein, Dick Tufeld, Gary A. Hecker, Edward Fox"
Peeples,59%  5.3 (4k),"Comedia, Romance",1h 35min,13,Tina Gordon Chism,(2013),", Craig Robinson, Kerry Washington, David Alan Grier, S. Epatha Merkerson, Tyler James Williams, Kali Hawk, Diahann Carroll, Melvin Van Peebles, Ana Gasteyer"
Queen of the Damned,63%  5.2 (57k),"Drama, Fantasía, Terror",1h 41min,12,Michael Rymer,(2002),", Stuart Townsend, Aaliyah, Marguerite Moreau, Vincent Perez, Paul McGann, Lena Olin, Claudia Black, Bruce Spence, Christian Manon, Matthew Newton, Tiriel Mora, Megan Cooper, Rowland S. Howard, Hugo Race, Robin Casinader, Jonathan 'JDevil' Davis, Kirsty Meares"
Rushmore,82%  7.6 (187k),"Drama, Comedia, Romance",1h 33min,APTA,Wes Anderson,(1999),", Jason Schwartzman, Bill Murray, Olivia Williams, Seymour Cassel, Brian Cox, Mason Gamble, Sara Tanaka, Stephen McCole, Luke Wilson, Dipak Pallana, Andrew Wilson, Marietta Marich, Ronnie McCawley, Keith McCawley, Hae Joon Lee, Adebayo Asabi, Connie Nielsen, Al Fielder, Colin  Platt, George Farish, Francis Fernandez, McCauley Penderdast, Eric Weems, Dalton Tomlin, Wallace Wolodarsky, Kim Terry, Ella Pryor, Paul Schiff, Antoni Scarano, Brian Tenenbaum, Thayer McClanahan, Patricia Winkler, Manning Mott, J.J. Stonebraker, Donny Caicedo, Ali Ktiri, Michael Maggart, Robbie Lee, Ed Geldart, Steve Eckelman, Eric Chase Anderson, Kumar Pallana, Stephen Dignan, Alexis Bledel, Brandon Trost, Jason Trost"
Species II,55%  4.4 (29k),"Ciencia ficción, Acción & Aventura, Misterio & Suspense, Terror",1h 34min,12,Peter Medak,(1998),", Michael Madsen, Natasha Henstridge, Marg Helgenberger, Mykelti Williamson, George Dzundza, James Cromwell, Sarah Wynter, Justin Lazard, Myriam Cyr, Baxter Harris, Scott Morgan, Nancy La Scala, Raquel Gardner, Henderson Forsythe, Robert Hogan, Ted Sutton, Peter Boyle, Gwendolyn Briley-Strand, Valerie Karasek, Jane Beard, Nancy Young, Beau James, Tracy Metro, Irv Ziff, Melanie Bradshaw, Felicia Deel, Norman Aronovic, Kim Adams, Dustin Turner, Susan Duvall, Andreas Kraemer, Lauren Ziemski, Donna Sacco, Sondra Spriggs, Kevin Grantz, Zite Bidanie, Nat Benchley, Mike Gartland, John C. Pratt, John T. Scanlon, Herbert R. Schutt Jr., Evelyn Ebo, Bill Boggs, Richard Belzer, Alesia Newman-Breen, Vincent Hammond, Monica Staggs, Jason Sweet, Michael Ahl, Sean Attebury, Matthew Boylan, Heidi Burger, Tim Carr, Gary Davis, Frank Faucette, Sean Floyd, Sarah Fragale, Byron Henderson, Liam Hughes, Brian Harrison, Julie Mabry, Karl Otter, Thomas Reid, Eric Alan Wendell, Page Dreher, James Koons"
Species III,34%,"Ciencia ficción, Acción & Aventura, Terror",1h 51min,18,Brad Turner,(2004),", Robin Dunne, Robert Knepper, Sunny Mabrey, Amelia Cooke, Christopher Neame, Patricia Bethune, Michael Warren, Natasha Henstridge, John Paul Pitoc, Joel Stoffer, James Leo Ryan, Savanna Fields, Reed Frerichs, Marc D. Wilson, Matthew Yang King, Rick Dean, Christopher R. Gillum, Billy Bacon, Jim Cody Williams, Mark Zecca, Sean C. Ching, Dan Wells, Frank Crim, Boni Yanagisawa, Rob Hinderstein, Carl Ciarfalio, Troy Blendell, Keith Camire, Josh Cook, Joss Gomez, Kari Ann Peniche, Jason Sarcinelli, Marc Scizak"
Sweet Home Alabama,70%  6.2 (115k),"Romance, Comedia",1h 48min,APTA,Andy Tennant,(2002),", Reese Witherspoon, Josh Lucas, Patrick Dempsey, Candice Bergen, Mary Kay Place, Fred Ward, Jean Smart, Ethan Embry, Melanie Lynskey, Courtney Gains, Mary Lynn Rajskub, Rhona Mitra, Nathan Lee Graham, Sean Bridgers, Fleet Cooper, Kevin Sussman, Thomas Curtis, Dakota Fanning, Mark Skinner, Michelle Krusiec, Phil Cater, Michael Snow, Bob Penny, Mark Matkevich, Lee Roy Giles, Afemo Omilami, Kevin Hagan, Dennis Ryan, Jim O'Connor, Leslie Hendrix, Tony Rizzoli, Bob Seel, Kelsey Lowenthal, Jen Apgar, Sarah Baker, Deborah Duke, Ted Manson, Sharon Blackwood, Suzi Bass, Don Young, Jody Thompson, Dionne Gipson, Doug Killen, Emily Furman, Pete Talton, Kelly Franklin, Osjha Anderson, Charlotte Pierrepont, Traci Ann Wolfe, Jana Lynn Schoep, Eddy Donno, Colin Ford, Katharine Towne"
The Extreme Adventures of Super Dave,25%,Acción & Aventura,1h 31min,,Peter MacDonald,(2000),", Bob Einstein, Dan Hedaya, Gia Carides, Don Lake, Art Irizawa, Mike Walden, Steve Van Wormer, Michael Buffer, Billy Barty"
The Saint,58%  4.9 (6k),"Acción & Aventura, Crimen",1h 32min,18,Ernie Barbarash,(2017),", Adam Rayner, Eliza Dushku, Ian Ogilvy, James Remar, Roger Moore, Enrique Murciano, Thomas Kretschmann, Beatrice Rosen, Greg Grunberg, Yani Gellman, Sammi Hanratty, Jason Brooks, Michael Ornstein, Sonalii Castillo, Louis Hynes, Sam Hargrave"
The Village,72%  6.6 (264k),"Drama, Misterio & Suspense, Acción & Aventura, Animación",1h 48min,12,M. Night Shyamalan,(2004),", Bryce Dallas Howard, Joaquin Phoenix, Adrien Brody, William Hurt, Sigourney Weaver, Brendan Gleeson, Cherry Jones, Celia Weston, John Christopher Jones, Frank Collison, Jayne Atkinson, Judy Greer, Fran Kranz, Michael Pitt, Jesse Eisenberg, Charlie Hofheimer, Scott Sowers, Zack Wall, Pascale Renate Smith, Jordan Burt, Jane Lowe, Charlie McDermott, Robert Lenzi, Willem Zuur, Liz Stauber, Tim Moyer, Sydney Shapiro, Mia Rose Colona, Chloe Wieczkowski, Sydney Wieczkowski, M. Night Shyamalan, John Rusk, Joey Anaya, Kevin Foster"
Unforgettable,62%  5.1 (16k),"Drama, Misterio & Suspense",1h 40min,16,Denise Di Novi,(2017),", Rosario Dawson, Katherine Heigl, Geoff Stults, Isabella Kai, Cheryl Ladd, Simon Kassianides, Whitney Cummings, Sarah Burns, Robert Wisdom, Aline Elasmar, Jayson Blair, Alex Quijano, Mitch Silpa, Alex Staggs, Leslie A. Hughes, Scott Beehner, Frederick Keeve, James Augustus Lee, Marissa Morgan"
Victor Frankenstein,66%  5.9 (57k),"Drama, Ciencia ficción, Misterio & Suspense, Terror",1h 50min,12,Paul McGuigan,(2015),", James McAvoy, Daniel Radcliffe, Jessica Brown Findlay, Andrew Scott, Freddie Fox, Charles Dance, Daniel Mays, Callum Turner, Bronson Webb, Spencer Wilding, Robin Pearce, Di Botcher, Eve Ponsonby, Will Keen, Louise Brealey, Nicola Sloane, Alistair Petrie, Neil Bell, Mark Gatiss, Guillaume Delaunay, Robert J. Fraser, Valene Kane, Adrian Schiller"
When A Man Loves A Woman,72%  6.5 (22k),"Drama, Romance",2h 6min,12,Luis Mandoki,(1994),", Andy García, Meg Ryan, Tina Majorino, Philip Seymour Hoffman, Lauren Tom, Mae Whitman, Ellen Burstyn, Eugene Roche, Gail Strickland, Steven Brill, Susanna Thompson, Erinn Canavan, LaTanya Richardson Jackson, Bari K. Willerford, James Jude Courtney, Jacques De Groot, Anne Ohliger, Tony Montero, Cynthia Mace, Jennie Yee, William Frankfather, Ellen Geer, Angelina Fiordellisi, Elizabeth Lang, Syd Field, Peer Ebbighausen, Ronald Bass, Joe Drago, Andrew Magarian, Amy Treese, Brandis Kemp, Judith Friend, Deana Kobrynski, Rico E. Anderson, Lena Banks, Richard Bradford, Al Franken, Craig Richards, Reed Rudy, Joseph Quinn Simpkins"
Within,60%  5.1 (7k),"Misterio & Suspense, Terror, Fantasía",1h 28min,16,Phil Claydon,(2016),", Michael Vartan, Erin Moriarty, Nadine Velazquez, Blake Jenner, Ronnie Gene Blevins, Steele Stebbins, Misty Upham, Tom Wright, Dorian Kingi"
Gemini,61%  5.4 (5k),"Misterio & Suspense, Drama, Crimen",1h 33min,18,Aaron Katz,(2018),", Lola Kirke, Zoë Kravitz, John Cho, Greta Lee, Michelle Forbes, Ricki Lake, Nelson Franklin, Reeve Carney, Jessica Parker Kennedy, James Ransone, Todd Louiso, Marianne Rendón, Abraham Lim, Gabriela Flores, Levy Tran, Chad Hartigan, Stephanie McVay"
Stalker,89%  8.1 (136k),"Drama, Europeas, Ciencia ficción",2h 42min,APTA,Andrei Tarkovsky,(1980),", Aleksandr Kaydanovskiy, Anatoliy Solonitsyn, Nikolay Grinko, Alisa Freyndlikh, Natasha Abramova, Faime Jurno, Evgeniy Kostin, Raymo Rendi"
Colette,75%  6.7 (24k),"Drama, Romance, Historia, Europeas",1h 52min,12,Wash Westmoreland,(2018),", Keira Knightley, Dominic West, Denise Gough, Fiona Shaw, Robert Pugh, Eleanor Tomlinson, Ray Panthaki, Dickie Beau, Jake Graf, Polina Litvak, Rebecca Root, Máté Haumann, Karen Gagnon, Katinka Egres, Alexis Latham, Attila Árpa, Peter Schueller, Caroline Boulton, Masayoshi Haneda, Scott Alexander Young, Julian Wadham, Al Weaver, Aiysha Hart, Virág Bárány, Shannon Tarbet, Janine Harouni, Johnny K. Palmer, Arabella Weir, Sloan Thompson, Kylie Watt, Joe Geary, Alexandra Szucs, Mark Griffith, Dorcas Coppin, Nathanaël Bez, Nick Scudamore, Anita Gera, Csémy Balázs, Izzy Bayley-King, Peter Sztojanov Jr., Roderick Hill"
Detainee 001,46%  6.3,Documental,1h 28min,,Greg Barker,(2021),
Transporter 3,68%  6.0 (169k),"Acción & Aventura, Misterio & Suspense, Europeas, Crimen",1h 44min,18,Olivier Megaton,(2008),", Jason Statham, Natalya Rudakova, François Berléand, Robert Knepper, Jeroen Krabbé, Alex Kobold, David Atrakchi, Yann Sundberg, Ériq Ebouaney, David Kammenos, Silvio Simac, Oscar Relier, Timo Dierkes, Igor Koumpan, Paul Barrett, Elef Zack, Katia Tchenko, Michel Neugarten, Farid Elouardi, Mike Powers, Philippe Maymat, Franck Neel, Jean-Luc Boucherot, Tonio Descanvelle, Stephen Croce, Martial Bezot, Stephen Shagov, Julien Muller, Arnaud Gibey, Guillaume Nail, Denis Braccini, Stefo Linard, Aline Stinus, Kait Tenison, Fabien Aïssa Busetta, Venugopal Balakrishnan, Sebastien Vandenberghe, Semmy Schilt, Eric Moreau"
La La Land,87%  8.0 (595k),"Drama, Comedia, Música, Romance",2h 8min,APTA,Damien Chazelle,(2016),", Ryan Gosling, Emma Stone, John Legend, Rosemarie DeWitt, J.K. Simmons, Amiée Conn, Terry Walters, Thom Shelton, Cinda Adams, Callie Hernandez, Jessica Rothe, Sonoya Mizuno, Claudine Claudio, Jason Fuchs, D.A. Wallach, Trevor Lissauer, Olivia Hamilton, Anna Chazelle, Marius de Vries, Finn Wittrock, Josh Pence, Nicole Coulon, Damon Gupton, Christopher Michael Stevens, Keith Harris, Kaveh Rastegar, Briana Lee, David Douglas, Miles Anderson, Bobo Chang, Meagen Fay, John Hindman, Valarie Rae Miller, Nicole Wolf, Corrin Evans, Kiff VandenHeuvel, Tom Everett Scott, Hemky Madera, Zoë Hall, Dempsey Pappion, Sandra Rosko, Reshma Gajjar, Candice Coke, Hunter Hamilton, Damian Gomez, Amanda Balen, Dominic Chaiduang, Cindera Che, Chris Moss, Marissa Labog, Tiffany Daniels, Melinda Sullivan, Stephanie Landwehr, Britt Stewart, Clarice Ordaz, Nathan Prevost, Scott Hislop, Kc Monnie, Krystal Ellsworth, Sarah Mitchell, Khasan Brailsford, Morgan Larson, Becca Sweitzer, Gakenia Muigai, Michael Stein, Mario Diaz, Julie Schmid, Lexie Contursi, Eartha Robinson, Sybil Azur, Tara Nicole Hughes, Kayla Kalbfleisch, Martha Nichols, Anthony Marciona, Bill Prudich, Robert Roldan, Ryan Novak, Demian Boergadine, Gustavo Vargas, Robert Haynes, Ana Flavia Gavlak, Andres Perez-Molina, Phillip E. Walker, Milica Govich, Kaye L. Morris, Nilla Elizabeth Watkins, Holly Houk, Jesse Houk, Kristin Slaysman, Cameron Brinkman, Jordan Ray Fox, C.J. Stussi, Margaret Newborn, Nadia Tumanova, Crystal Nichol, Kristin Elliott, Andrea Lareo, Christopher Aber, Anna Lunberry, Shannon Leann, Jenna Curtis, Noah James, Tommy Cooley, Morgan Cohen, Jeremy Nathan Tisser, Patty Tobin, Heather Turman, Susie Ganiere, Ottavio Taddei, April Martucci, Trent Kerpsack, Lynn Moore, Vince Donvito, Steffen Dziczek, Melvin LaThomas Brimm, Kelly Kennedy, Clarence Robinson, Dapo Torimiro, Destinee Handly, Tommy Otis, Amanda Fields, Frederick Keeve, Ali Arda Özdeniz, Sasha Fine, Eren Kayakıran, Corey Anderson"
Logan,88%  8.1 (769k),"Drama, Ciencia ficción, Acción & Aventura, Misterio & Suspense",2h 17min,16,James Mangold,(2017),", Hugh Jackman, Dafne Keen, Patrick Stewart, Elizabeth Rodriguez, Boyd Holbrook, Stephen Merchant, Richard E. Grant, Stephen Dunlevy, Eriq La Salle, Elise Neal, Quincy Fouse, Al Coronel, Frank Gallegos, Anthony Escobar, Reynaldo Gallegos, Krzysztof Soszynski, Daniel Bernhardt, Ryan Sturz, Jef Groff, Brandon Melendy, Oren Hawxhurst, Jeremy Fitzgerald, Chris Palermo, Paul Andrew O'Connor, Clinton Roberts, Rocky Abou-Sakher, Keith Jardine, Jean Claude Leuyer, Andrew Arrabito, Sebastian James, Aaron Matthews, Garrett Hammond, Matt McClain, Maureen Brennan, Jason Genao, Hannah Westerfield, Bryant Tardy, Ashlyn Casalegno, Alison Fernandez, Parker Lovein, Jimmy Gonzales, Dave Davis, Lennie Loftin, Mark Ashworth, James Handy, Bryce Romero, Phi Vu, Chester Rushing, David Simpson, Lauren Gros, John Raymond, Vanessa Cloke, Doris Morgado, Katie Anne Mitchell, Lara Grice, James Moses Black, Ned Yousef, Michael Lehr, Baxter Humby, Bryan Sloyer, Daniel Hernández, John Bernecker, Evan Dane Taylor, Joe Nin Williams, Toby Holguin, Robert Wu, Panuvat Anthony Nanakornpanom, Victor Winters-Junco, Eyad Elbitar, Craig Henningsen, Han Soto, Rissa Rose Kilar, Salef Celiz, Aidan Kennedy, Nayah Murphy, Chase Cubia, Emma Teo, Vincenzo Lucatorto, Noell Jellison, Haley Glass, Ella Rowbotham, Hudson Wright, Sebeon Jackson, Kelton DuMont, Damon Carney, Cynthia Woods, Mali O'Connor, David Kallaway, Robert Vargas, David Paris, Gonzalo Robles, Tim Connolly, Mary Peyton Stewart"
Bolden,53%  5.6,"Drama, Música",1h 48min,,Dan Pritzker,(2019),", Gary Carr, Michael Rooker, Ian McShane, Yaya DaCosta, Ser'Darius Blain, Reno Wilson, Kelvin Harrison Jr., Erik LaRay Harvey, Robert Ri'chard, Karimah Westbrook, JoNell Kennedy, Serena Reeder, Christina Marie Karis, Kearia Schroeder, Chelsea Vale, Tiffany Hayes"
The Unthinkable,64%  6.0 (8k),"Misterio & Suspense, Acción & Aventura, Romance, Ciencia ficción, Europeas",2h 9min,12,Victor Danell,(2018),", Christoffer Nordenrot, Lisa Henni, Jesper Barkselius, Karin Bertling, Pia Halvorsen, Magnus Sundberg, Krister Kern, Ulrika Bäckström, Alexej Manvelov, Yngve Dahlberg, Håkan Ehn, Tarmo Sakari Hietala, Niklas Jarneheim, Arvin Kananian, Lo Lexfors, Liselott Lindeborg, Rickard Lundqvist, Carlos Paulsson, Rikard Svensson, Johan Wåhlin, Eleonor Leone, Erik Bolin, Magdalena Eshaya, Susanne Hörnquist, David Laib, Pauline Wågström, Carina Perenkranz, Johannes Yachouh, Lukas Ahlin, Måns Ahlin, Linda Kulle"
Cold Creek Manor,58%  5.0 (23k),"Misterio & Suspense, Drama",1h 58min,13,Mike Figgis,(2003),", Dennis Quaid, Sharon Stone, Stephen Dorff, Juliette Lewis, Kristen Stewart, Christopher Plummer, Kathleen Duborg, Peter Outerbridge, Aidan Devine, Wayne Robson, Karen Glave, Ryan Wilson, Dana Eskelson, Simon Reynolds, Jordan Pettle, Paula Brancati, Shauna Black, John Bayliss, Stephanie Morgenstern, Gary Johnston"
El Dorado,62%  6.4,"Acción & Aventura, Historia, Drama, Europeas",2h 29min,,Carlos Saura,(1988),", Omero Antonutti, Lambert Wilson, Eusebio Poncela, Inés Sastre, Gabriela Roel, José Sancho, Féodor Atkine, Patxi Bisquert, Francisco Algora, Francisco Merino, Abel Vitón, Mariano Gonzalez, Gladys Catania, Gustavo Rojas, Wilson Morera, Rodolfo Cisneros, Luis Fernández Gómez, Gerardo Arce, David González, José Solano, Adrián Díaz, Franklin Hueso, Haydee de Lev"
Election,77%  7.3 (98k),"Romance, Drama, Comedia",1h 39min,13,Alexander Payne,(1999),", Matthew Broderick, Reese Witherspoon, Chris Klein, Jessica Campbell, Mark Harelik, Phil Reeves, Molly Hagan, Delaney Driscoll, Colleen Camp, Frankie Ingrassia, Matt Malloy, Jeanine Jackson, Holmes Osborne, Loren Nelson, Nicholas D'Agosto, Emily Martin, Jonathan Marion, Amy Falcone, Matt Justesen, Nick Kenny, B.J. Tobin, Christa Young, David V. Wenzel, Joel Parks, Larry Kaiser, Marilyn Tipp, Jeannie Brayman, James Devney, L. Carmen Novoa, Jason Paige, Matt Golden, Heather Koenig, Jillian Crane, Kaitlin Ferrell, John Ponzio, Rohan Quine"
Gattaca,84%  7.8 (307k),"Romance, Misterio & Suspense, Ciencia ficción, Drama",1h 46min,APTA,Andrew Niccol,(1997),", Uma Thurman, Ethan Hawke, Jude Law, Alan Arkin, Loren Dean, Gore Vidal, Tony Shalhoub, Ernest Borgnine, Blair Underwood, Xander Berkeley, Jayne Brook, William Lee Scott, Una Damon, Elias Koteas, Maya Rudolph, Elizabeth Dennehy, Mason Gamble, Vincent Nielson, Chad Christ, Clarence Graham, Carlton Benbry, Grace Sullivan, Ken Marino, Cynthia Martells, Gabrielle Reece, Dean Norris, Russell Milton, George Marshall Ruge, Steve Bessen, Lindsey Ginter, Greg Sestero"
